name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki
Edward,edward,{},,,,between 1 September 1975 and 31 August 1981 (most likely),,Pale blue,{},Male,Red,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/f/fc/Edward.JPG,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Edward
Edward Almeida Peidus,edward-almeida-peidus,{},,,,,,,"{""Raul Almeida (possibly)""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/e0/Edward_Almeida_Peidus.jpg,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Edward_Almeida_Peidus
Edward Fountain,edward-fountain,{},,No-Maj,,,,,{},Male,,,,,"{""Actor""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Edward_Fountain
Edward Remus Lupin,edward-lupin,"{""Teddy (by family & friends)"", ""Ted""}",,Half-blood,,"April 1998, England, Great Britain",,Variable,"{""Remus Lupin (father) †"", ""Nymphadora Lupin (née Tonks) (mother) †"", ""Lyall Lupin (paternal grandfather)"", ""Hope Lupin (née Howell) (paternal grandmother) †"", ""Edward Tonks (maternal grandfather) †"", ""Andromeda Tonks (née Black) (maternal grandmother; legal guardian)"", ""Lupin family"", ""Tonks family (maternal family)"", ""Howell family (paternal relatives)"", ""House of Black (maternal relatives)"", ""Rosier family (maternal ancestors)"", ""Crabbe family (maternal ancestors)"", ""Bulstrode family (maternal ancestors)"", ""Flint family (maternal ancestors)""}",Male,Variable,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/6/62/Teddy_Lupin.png,{},Dating,British or Irish,,"{""Victoire Weasley (girlfriend)""}",Variable,Human (Werewolf ancestry),"{""Head Boy""}",{},,https://harrypotter.fandom.com/wiki/Edward_Lupin
Edward Rabnott,edward-rabnott,{},,,,,Before 1995 (possibly),Dark,"{""Modesty Rabnott (possibly)"", ""Prudence (possibly)""}",Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/6/60/Edward_Rabnott.JPG,{},,,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Edward_Rabnott
Edward Tonks,edward-tonks,"{""Ted (by family and friends)""}",,Muggle-born,,,"March 1998, Great Britain",,"{""Andromeda Tonks (née Black) (wife)"", ""Nymphadora Lupin (née Tonks) (daughter) †"", ""Cygnus Black III (father-in-law) †"", ""Druella Black (née Rosier) (mother-in-law) †"", ""Bellatrix Lestrange (née Black) (sister-in-law) †"", ""Narcissa Malfoy (née Black) (sister-in-law)"", ""Rodolphus Lestrange (brother-in-law)"", ""Lucius Malfoy (brother-in-law)"", ""Delphini (niece by marriage)"", ""Draco Malfoy (nephew by marriage)"", ""Astoria Malfoy (née Greengrass) (niece-in-law) †"", ""Remus Lupin (son-in-law) †"", ""Edward Lupin (grandson)"", ""Tonks family"", ""Lupin family (in-laws/descendants)"", ""House of Black (in-laws)""}",Male,Blond,,,https://static.wikia.nocookie.net/harrypotter/images/4/42/Ted_Tonks.jpg,{},Married,,,"{""Andromeda Tonks (wife)""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Edward_Tonks
Edwardus Lima,edwardus-lima,{},,,,,,,"{""Mina Lima (possibly)"", ""Lima family""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/d/d5/Lima.png,"{""Author""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Edwardus_Lima
Edwin Avarus,edwin-avarus,{},,,,,,,{},Male,,,,,"{""Owner of the Cauldron Workshop""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Edwin_Avarus
Edwin Booth,edwin-booth,{},,,,,"13 February, 1833",,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/ed/EdwinBooth.jpg,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Edwin_Booth
Edwin Halsted,edwin-halsted,{},,No-Maj,,,,,{},Male,,,,,"{""Choreographer""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Edwin_Halsted
Eekins,eekins,{},,,,1970s,,,{},,,,"Hufflepuff, Ravenclaw or Slytherin",,{},,British or Irish,,{},,Human,"{""Chaser""}",{},,https://harrypotter.fandom.com/wiki/Eekins
Effie Bones,effie-bones,{},,,,,,Brown,"{""Seraphina Bones (possible relation)"", ""Amelia Bones (possible descendant) †"", ""Edgar Bones (possible descendant) †"", ""Possible descendants †"", ""Susan Bones (possible descendant)"", ""Bones family""}",Female,Black,,,https://static.wikia.nocookie.net/harrypotter/images/d/d0/Effie_Bones.png,{},,British,,{},Dark,Human,{},{},,https://harrypotter.fandom.com/wiki/Effie_Bones
Egbert the Egregious,egbert-the-egregious,{},,,,Middle Ages,Middle Ages,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5f/Egbert_the_Egregious.jpg,{},,,,{},,Human,{},"{""15', Elder, Thestral tail hair core""}",,https://harrypotter.fandom.com/wiki/Egbert_the_Egregious
Eglantine Lestrange,eglantine-lestrange,{},,Pure-blood,,,,,"{""Falco Lestrange (father)"", ""Salomé Lestrange (née Volant) (mother)"", ""Leonie Tremblay (née Lestrange) (sister)"", ""Corvus Lestrange (husband/paternal first cousin)"", ""Corvus Lestrange (son) †"", ""Bernard Tremblay (brother-in-law)"", ""Falco Tremblay (nephew)"", ""Corvus Lestrange (paternal uncle/father-in-law)"", ""Minette Lestrange (née Rosier) (paternal aunt/mother-in-law)"", ""Manon Perrot (née Lestrange) (paternal first cousin)"", ""Josette Gage (née Lestrange) (paternal first cousin)"", ""Laurena Kama (daughter-in-law) †"", ""Clarisse Lestrange (née Tremblay) (daughter-in-law/niece)"", ""Leta Lestrange (granddaughter) †"", ""Corvus Lestrange (grandson) †"", ""Lestrange family"", ""Volant family (maternal family)""}",Female,,,,,{},Married,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eglantine_Lestrange
Eglantine Puffett,eglantine-puffett,{},,,,On or before 31 August 1974 (most likely),,,{},Female,,,Hufflepuff,,"{""Inventor""}",,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eglantine_Puffett
Egmont Elvert Hobday,egmont-hobday,{},,Pure-blood or Half-blood,,"30 November, 1998",,,"{""Hilliard Hobday (father)"", ""Violetta Hobday (mother)"", ""Oakden Hobday(possibly)""}",Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Egmont_Hobday
Eileen Snape (née Prince),eileen-prince,{},,Pure-blood,,c. 1930,,,"{""Tobias Snape (husband)"", ""Severus Snape (son) †""}",Female,,,Slytherin (possibly),,{},Married,British or Irish,,{},Pale,Human,"{""Captain of the Hogwarts Gobstones Team"", ""President of the Hogwarts Gobstone Club""}",{},,https://harrypotter.fandom.com/wiki/Eileen_Prince
Ekrizdis,ekrizdis,{},,,,,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Ekrizdis
Elderly visitor at Leaky Cauldron,elderly-visitor-at-leaky-cauldron,{},,,,Before 1970s,,,{},Male,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/8/8a/Visitor_at_the_Leaky_Cauldron.jpg,{},,British,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Elderly_visitor_at_Leaky_Cauldron
Elderly wizard in an emerald-green cloak,elderly-wizard-in-an-emerald-green-cloak,{},,,,,,,{},Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elderly_wizard_in_an_emerald-green_cloak
Eldon Elsrickle,eldon-elsrickle,"{""The Spectral Thief of Old London Town""}",,,,,1600s,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/ea/Eldon_Elsrickle.png,"{""Thief""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eldon_Elsrickle
Eldon Pembroke,eldon-pembroke,{},,,,31 August 1982 or earlier,,,{},Male,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eldon_Pembroke
Eldred Worple,eldred-worple,{},,,,"Between 1914 and 1970 or earlier,",,,{},Male,,Short,,https://static.wikia.nocookie.net/harrypotter/images/a/ae/Eldred_Worple.png,"{""Author""}",,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eldred_Worple
Eldritch Diggory,eldritch-diggory,{},,Pure-blood or half-blood,,Pre-1716,1747,,"{""Helen Thistlewood (great-niece)"", ""Eddie Thistlewood (great-nephew)"", ""Amos Diggory (possible relative)"", ""Cedric Diggory (possible relative) †"", ""Diggory family""}",Male,Grey,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/9/90/Eldritch_Diggory_portrait_-_HL.png,"{""Minister for Magic""}",,British,,{},Light,Human,{},"{""Unknown length, Poplar, unknown core""}",,https://harrypotter.fandom.com/wiki/Eldritch_Diggory
Eleanor Branstone,eleanor-branstone,{},,,,Between 1 September 1982 and 31 August 1983,,,{},Female,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eleanor_Branstone
Eleanor Everleigh,eleanor-everleigh,{},,,,,,,"{""Nephews"", ""Lenora Everleigh (niece)"", ""Everleigh family""}",Female,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eleanor_Everleigh
Eleanor Sarah Gibbs,eleanor-sarah-gibbs,{},,,,,,,{},Female,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eleanor_Sarah_Gibbs
Eleanora Shanks,eleanora-shanks,"{""Crazy Lamb""}",,,,,,,{},Female,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5b/Eleanora_Shanks.jpg,{},,,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Eleanora_Shanks
Eleazar Fig,eleazar-fig,{},,,,Before 1873,1891,,"{""Miriam Fig (wife) †""}",Male,Grey,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/7/72/Eleazar_Fig.png,"{""Professor of Magical Theory at Hogwarts School of Witchcraft and Wizardry""}",,British or Irish,,{},Light,Human,"{""Professor""}","{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Eleazar_Fig
Elek,elek,{},,,,,,Blue,{},Male,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/9/98/Elek.png,{},,,,{},Light,Centaur,{},{},,https://harrypotter.fandom.com/wiki/Elek
Elena Eldritch,elena-eldritch,{},,,,"Before 1977, Germany (possibly)",,,{},Female,Blonde,,,https://static.wikia.nocookie.net/harrypotter/images/9/9a/Elena_Eldritch_-_card_HBP-NDS.png,"{""Beater for the German National Quidditch team""}",,German,,{},White,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Elena_Eldritch
Elfric the Eager,elfric-the-eager,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a0/UprisingOfElfricTheEagerHM.png,"{""Goblin rebel""}",,,,{},,Goblin,{},{},,https://harrypotter.fandom.com/wiki/Elfric_the_Eager
Elfrida Clagg,elfrida-clagg,{},,,,1612,1687 (aged 74-75),Green,{},Female,"Green (youth), Grey (old age)",,,https://static.wikia.nocookie.net/harrypotter/images/4/46/ElfridaClagg.png,"{""Chieftainess of the Wizards' Council""}",,British,,{},White,Human,"{""Chieftainess""}",{},,https://harrypotter.fandom.com/wiki/Elfrida_Clagg
Elfrida Cragg,elfrida-cragg,{},,,,,Before 1995,,"{""Muldoon Cragg (possibly)""}",Female,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elfrida_Cragg
Eliana,eliana,{},,,,,,,"{""Parents"", ""Illyius (husband)""}",Female,Dark brown,,,https://static.wikia.nocookie.net/harrypotter/images/6/6c/Eliana.png,{},Married,,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Eliana
Eliana's parents,eliana-s-parents,{},,,,,,,"{""Eliana (daughter)"", ""Illyius (son in law)""}","Male, Female",,,,,{},Married,,,{},,Humans,{},{},,https://harrypotter.fandom.com/wiki/Eliana's_parents
Elias Grimstone,elias-grimstone,{},,,,,,,{},Male,,,,,"{""Broom-maker""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elias_Grimstone
Elicia,elicia,{},,Muggle,,,,Blue,{},Female,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/f/fb/Elicia.jpg,"{""Actress""}",,Britain,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Elicia
Elicia Scales,elicia-scales,{},,,,,,,{},Female,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5e/EliciaScalesInUniverse.jpg,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elicia_Scales
Elite No-Maj,elite-no-maj,{},,,,Pre 1927,,,{},Male,Blond,,,,"{""Socialite""}",,American,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Elite_No-Maj
Eliza,eliza,{},,,,between 1 September 1973 and 31 August 1974,,,{},Female,Blonde,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/3/35/Eliza.jpeg,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Eliza
Elizabeth Burke,elizabeth-burke,{},,Pure-blood or Half-blood,,,Before 1925,Brown,"{""Caractacus Burke (possibly)"", ""Herbert Burke (possibly)"", ""Herbert Burke's sons (possibly)"", ""Herbert Burke's daughter (possibly)"", ""Burke family"", ""Malfoy family (possibly)""}",Female,Red,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/b/b3/Elizabeth_Burke_full.jpg,"{""Headmistress of Hogwarts (before 1943)""}",,British or Irish,,{},White,Human,"{""Professor"", ""Headmistress""}",{},,https://harrypotter.fandom.com/wiki/Elizabeth_Burke
Elizabeth I,elizabeth-i,{},,Muggle,,7 September 1533,24 March 1603 (aged 69),,"{""Henry VIII (father) †"", ""Anne Boleyn (mother) †"", ""Mary I (paternal half-sister) †"", ""William I (ancestor) †"", ""House of Tudor""}",Female,,,,,{},Single,,,{},,Human,"{""Queen""}",{},,https://harrypotter.fandom.com/wiki/Elizabeth_I
Elizabeth II,elizabeth-ii,{},,Muggle,,"21 April 1926, London, England, Great Britain","8 September 2022 (aged 96) Balmoral Castle, Scotland, Great Britain",,"{""Victoria (great-great-grandmother) †"", ""Richard I (distant relative) †"", ""Henry VI (distant relative) †"", ""Henry VIII (distant relative) †"", ""Anne Boleyn (distant relative) †"", ""Mary I (distant relative) †"", ""Elizabeth I (distant relative) †"", ""William III (distant relative) †"", ""Mary II (distant relative) †"", ""William I (ancestor) †"", ""Henry VII (ancestor) †"", ""George III (ancestor) †""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/4/4e/MuggleBanknote.png,"{""Queen of the United Kingdom and other Commonwealth countries""}",Widowed,British,,{},,Human,"{""Queen""}",{},,https://harrypotter.fandom.com/wiki/Elizabeth_II
Elizabeth McGilliguddy,elizabeth-mcgilliguddy,{},,,,Before 1777,,,{},Female,,,,,"{""President of the Magical Congress of the United States of America (c. 1777-?)""}",,American,,{},,Human,"{""President""}",{},,https://harrypotter.fandom.com/wiki/Elizabeth_McGilliguddy
Elizabeth Mkapa,elizabeth-mkapa,{},,,,31 August 1982 or earlier,,,{},Female,,,Ravenclaw,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elizabeth_Mkapa
Elizabeth Smudgling,elizabeth-smudgling,{},,,,,,,{},Female,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/8/8b/ElizabethSmudgling.png,"{""Professional Duellist""}",,English,,{},White,Human,"{""Supreme Dueller""}",{},,https://harrypotter.fandom.com/wiki/Elizabeth_Smudgling
Ella Jo,ella-jo,{},,,,,,,{},Female,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Ella_Jo
Ella Black (née Max),ella-max,{},,Pure-blood,,,,,"{""Cygnus Black I (husband)"", ""Max family"", ""House of Black""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/3/31/Upload_to_wiki.jpg,{},Widowed,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Ella_Max
Ella Wilkins,ella-wilkins,{},,,,1 September 1978 - 31 August 1982,,,"{""Heliotrope Wilkins (possibly)""}",Female,,,Slytherin,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Ella_Wilkins
Elladora Black,elladora-black,"{""Aunt Elladora""}",,Pure-blood,,1850,1931 (aged 80 - 81),,"{""Sirius Black I (older brother) †"", ""Phineas Nigellus Black (older brother) †"", ""Iola Black (younger sister)"", ""Ursula Flint (sister-in-law)"", ""Bob Hitchens (brother-in-law)"", ""Sirius Black II (nephew) †"", ""Phineas Black (nephew) †"", ""Arcturus Black II (nephew) †"", ""Belvina Black (niece) †"", ""Cygnus Black II (nephew) †"", ""House of Black""}",Female,,,Slytherin (possibly),https://static.wikia.nocookie.net/harrypotter/images/c/c8/Elladora_Black.jpg,{},Single,,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Elladora_Black
Elladora Guffy,elladora-guffy,{},,,,,,,{},Female,,,,,{},,British,,{},,Human,"{""Madam""}",{},,https://harrypotter.fandom.com/wiki/Elladora_Guffy
Elladora Ketteridge,elladora-ketteridge,{},,,,1656,1729 (aged 62-63),Dark blue,{},Female,Black,,,https://static.wikia.nocookie.net/harrypotter/images/4/42/Elladora_Ketteridge.jpg,{},,,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Elladora_Ketteridge
Ellen Cracknell,ellen-cracknell,{},,Muggle,,,,,"{""Orford Umbridge (ex-husband)"", ""Dolores Umbridge (daughter)"", ""Son"", ""Umbridge family (formerly)"", ""Cracknell family""}",Female,,,,,{},Divorced,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Ellen_Cracknell
Ellerby,ellerby,{},,,,In or before 1923,,,{},,,,,,"{""Broom-maker""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Ellerby
Ellie Cattermole,ellie-cattermole,{},,Half-blood or Squib,,c. Between 1987 and 1994 (assumed),,,"{""Reginald Cattermole (father)"", ""Mary Cattermole (mother)"", ""Maisie Cattermole (sister)"", ""Alfred Cattermole (brother)"", ""Paternal grandfather"", ""Maternal grandfather"", ""Maternal grandmother""}",Female,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Ellie_Cattermole
Ellie Dowson,ellie-dowson,{},,,,,,,"{""Rob Dowson (unknown)""}",Female,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Ellie_Dowson
Ellie Peck,ellie-peck,{},,,,Before 1890,,Brown,"{""Parents""}",Female,Black,,,https://static.wikia.nocookie.net/harrypotter/images/d/dd/Ellie_Peck.png,"{""Proprietor of Brood and Peck""}",,British or Irish,,{},Dark,Human,{},{},,https://harrypotter.fandom.com/wiki/Ellie_Peck
Elliot Evers,elliot-evers,{},,,,Between 1 September 1992 and 31 August 1993,,Blue,{},Male,Tawny,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/1/14/Elliot_Evers_MA.png,{},,British or Irish,,{},Light,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Elliot_Evers
Elliot Smethwyck,elliot-smethwyck,{},,,,,,,"{""Hippocrates Smethwyck (possibly)"", ""Leopoldina Smethwyck (possibly)"", ""Smethwyck family""}",Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elliot_Smethwyck
Elodie Dembélé,elodie-dembele,{},,,,"Between 14 April, 1995 and 13 April 1996, Ivory Coast (possibly)",,,{},Female,,,,,"{""Chaser for the Ivorian National Quidditch team""}",,Ivorian,,{},,Human,"{""Chaser""}",{},,https://harrypotter.fandom.com/wiki/Elodie_Dembélé
Eloise Midgen,eloise-midgen,{},,,,31 August 1983 or earlier,,,"{""Mr Midgen (father)""}",Female,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/a/ad/EloiseMidgenHeadShot.jpg,{},,British or Irish,,{},Light (bad case of acne),Human,{},{},,https://harrypotter.fandom.com/wiki/Eloise_Midgen
Mr Midgen,eloise-midgen-s-father,{},,"Pure-blood, half-blood or Muggle-born",,,,,"{""Eloise Midgen (daughter)""}",Male,,,Gryffindor (likely),,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Eloise_Midgen's_father
Eloise Mintumble,eloise-mintumble,{},,,,,"1899,St Mungo's Hospital for Magical Maladies and Injuries, London",,{},Female,,,,,"{""Unspeakable""}",,British,,{},,Human,"{""Madam""}",{},,https://harrypotter.fandom.com/wiki/Eloise_Mintumble
Elora Dunn,elora-dunn,{},,,,Between 1 September 1976 and 31 August 1977,,Blue,"{""Craig Dunn (possibly)"", ""Dunn family""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/d/db/Elora_Dunn.JPG,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Elora_Dunn
Elphias Doge,elphias-doge,"{""Darling Dodgy (by Rita Skeeter)"", ""Dodgy Doge (by Rita Skeeter)"", ""Dogbreath Doge) (by Rita Skeeter""}",,Pure-blood,,Between 1 September 1880 and 31 August 1881,,Grey/Blue,{},Male,Silver,5'9.5',,https://static.wikia.nocookie.net/harrypotter/images/4/4e/Elphias_Doge_2.jpg,"{""Special Advisor to the Wizengamot""}",,British or Irish,Non-corporeal,{},Fair,Human,{},{},176 lbs,https://harrypotter.fandom.com/wiki/Elphias_Doge
Elphinstone Forgot,elphinstone-forgot,{},,,,,,,{},Male,,,,,"{""Naval officer""}",,,,{},,Human,"{""Admiral""}",{},,https://harrypotter.fandom.com/wiki/Elphinstone_Forgot
Elphinstone Urquart,elphinstone-urquart,{},,Pure-blood,,Great Britain,1985,,"{""Minerva McGonagall (wife)"", ""Robert McGonagall (father-in-law)"", ""Isobel McGonagall (mother-in-law)"", ""Malcolm McGonagall (brother-in-law)"", ""Robert McGonagall Junior (brother-in-law)"", ""Nieces and nephews"", ""Urquhart (possibly)""}",Male,,,,,"{""Department of Magical Law Enforcement official (retired)""}",Married,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elphinstone_Urquart
Elric Parpidum,elric-parpidum,{},,,,,,,"{""Morten Parpidum (possibly)""}",Male,,,,,"{""Dragon slayer""}",,British,,{},,Human,"{""Sir""}",{},,https://harrypotter.fandom.com/wiki/Elric_Parpidum
Elsbeth McCormick,elsbeth-mccormick,{},,,,,"18 June, unknown year",,{},Female,,,,https://static.wikia.nocookie.net/harrypotter/images/6/66/ElsbethM.jpg,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elsbeth_McCormick
Elsie,elsie,{},,,,Before September 1927,,,{},Female,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Elsie
Elsie Barrett,elsie-barrett,{},,,,,,,{},Female,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elsie_Barrett
Elsie Prod,elsie-prod,{},,,,,,,"{""Demetrius Prod (husband)†""}",Female,,,,,{},Widowed,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elsie_Prod
Elsie Valentine Schroeder,elsie-valentine-schroeder,{},,,,,,,{},Female,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elsie_Valentine_Schroeder
Elspeth MacGillony,elspeth-macgillony,{},,,,Between 1 September 1976 and 31 August 1977,,Green,"{""Father""}",Female,Red,,,https://static.wikia.nocookie.net/harrypotter/images/b/b9/Elspeth_MacGillony_MA.jpg,"{""Substitute professor of Study of Ancient Runes at Hogwarts School of Witchcraft and Wizardry (briefly)""}",,British or Irish,,{},Light,Human,"{""Professor""}","{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Elspeth_MacGillony
Elspeth MacGillony's father,elspeth-macgillony-s-father,{},,,,,,,"{""Elspeth MacGillony (daughter)""}",Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elspeth_MacGillony's_father
Elspeth McKinnon,elspeth-mckinnon,{},,,,,Before 31 October 1981,,"{""Angus McKinnon"", ""Marlene McKinnon"", ""McKinnon family""}",Female,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elspeth_McKinnon
Elton Elderberry,elton-elderberry,{},,,,Before 1691,,,{},Male,White,,,https://static.wikia.nocookie.net/harrypotter/images/1/13/Elton_Elderberry_HM747.png,"{""Hit Wizard (formerly)"", ""Unspeakable"", ""Archivist at the British Ministry of Magic""}",,British,,"{""Ruthie Goldleaf (formerly)""}",Pale,Human,{},{},,https://harrypotter.fandom.com/wiki/Elton_Elderberry
Elveira Elkins,elveira-elkins,{},,,,,,,{},Female,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Elveira_Elkins
Emanuel Hurwitz,emanuel-hurwitz,{},,Muggle,,"7 May, 1919.London","19 November, 2006",,"{""Kay Hurwitz (wife)""}",Male,,,,,"{""Violinist""}",Married,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Emanuel_Hurwitz
Emerett Picardy,emerett-picardy,{},,,,,,,{},Male,,,,,"{""Author""}",,,,{},,Human,"{""Professor""}",{},,https://harrypotter.fandom.com/wiki/Emerett_Picardy
Emeric Switch,emeric-switch,{},,,,,Before the 1990s (possibly),,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/e0/EmericSwitch.jpg,"{""Author""}",,,,{},,Human,"{""Professor""}",{},,https://harrypotter.fandom.com/wiki/Emeric_Switch
Emeric the Evil,emeric-the-evil,{},,,,Middle Ages,Middle Ages,Brown,{},Male,Black (greying),,,https://static.wikia.nocookie.net/harrypotter/images/f/f6/Emeric_the_Evil_HM.png,{},,,,{},Light,Human,{},"{""15', Elder, Thestral tail hair""}",,https://harrypotter.fandom.com/wiki/Emeric_the_Evil
Emily,emily-gryffindor,{},,,,between 1 September 1975 and 31 August 1981 (most likely),,Brown,{},Female,Brown,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/3/3c/Emily.JPG,{},,British or Irish,,{},Dark,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Emily_(Gryffindor)
Emily,emily-hufflepuff,{},,,,between 1 September 1975 and 31 August 1981,,Brown,{},Female,Black,,Hufflepuff,,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Emily_(Hufflepuff)
Emily,emily-mural,{},,,,Before 1890,Before 1890,,{},Female,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/7/7b/Emily_mural_Slytherin_common_room_HL.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Emily_(mural)
Emily Mather,emily-mather,{},,,,,,,"{""Gabriella Mather (unknown)""}",Female,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Emily_Mather
Emily Rappaport,emily-rappaport,{},,,,,,,{},Female,,,,,"{""President of the Magical Congress of the United States of America (c. 1790-?)""}",,American,,{},,Human,"{""President""}",{},,https://harrypotter.fandom.com/wiki/Emily_Rappaport
Emily Taylor,emily-taylor,{},,,,,,,"{""Taylor family""}",Female,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Emily_Taylor
Emily Tyler,emily-tyler,{},,,,Between 1 September 1970 and 31 August 1971,,Blue,{},Female,Brown,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/6/67/Emily_Tyler.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Emily_Tyler
